station,year,severity,collision,road_type,lat,lng,fatal,crash_id
Ashokanagar,2016,Damage Only,Rear end,City or Town Road,12.97092,77.604893,0,177
Ashokanagar,2016,Damage Only,Others,City or Town Road,12.952687,77.605238,0,178
Ashokanagar,2016,Grievous Injury,Others,Residential Street,12.963145,77.60134,0,179
Ashokanagar,2016,Grievous Injury,Hit bicyclist,City or Town Road,12.9645,77.614461,0,180
Ashokanagar,2016,Simple Injury,Hit bicyclist,City or Town Road,12.96086,77.600533,0,181
Ashokanagar,2016,Simple Injury,Others,One way,12.97092,77.604893,0,182
Ashokanagar,2016,Simple Injury,Hit and Run,Two way,12.965118,77.606947,0,183
Ashokanagar,2016,Fatal,Hit bicyclist,Two way,12.958174,77.621251,1,184
Ashokanagar,2016,Fatal,Skidding or Self accident,City or Town Road,12.965845,77.597857,1,185
Ashokanagar,2016,Grievous Injury,Hit pedestrian,City or Town Road,12.966948,77.60787,0,186
Ashokanagar,2016,Damage Only,Hit and Run,One way,12.970744,77.604505,0,187
Ashokanagar,2019,Grievous Injury,Hit and Run,Two way,12.943508,77.630421,0,188
Ashokanagar,2019,Fatal,Vehicle to Vehicle,Two way,12.9669498,77.6065976,1,189
Ashokanagar,2020,Grievous Injury,Vehicle to Vehicle,Two way,12.956077,77.605637,0,190
Ashokanagar,2020,Simple Injury,Vehicle to Vehicle,Two way,12.952709,77.605162,0,191
Ashokanagar,2022,Not Applicable,Vehicle to Vehicle,One way,12.974798,77.607746,0,192
Ashokanagar,2022,Simple Injury,Vehicle to Vehicle,One way,12.966182,77.598169,0,193
Ashokanagar,2022,Fatal,Hit pedestrian,Sub Arterial,12.957067,77.615238,1,194
Ashokanagar,2022,Grievous Injury,Vehicle to Vehicle,Two way,12.960269,77.606468,0,195
Ashokanagar,2022,Grievous Injury,Vehicle to Vehicle,Two way,12.951718,77.610091,0,196
Ashokanagar,2022,Grievous Injury,Vehicle to Vehicle,Two way,12.970068,77.61028,0,197
Ashokanagar,2022,Grievous Injury,Vehicle to Vehicle,Two way,12.975006,77.608249,0,198
Ashokanagar,2023,Grievous Injury,Not Applicable,One way,12.968,77.600324,0,199
Ashokanagar,2023,Grievous Injury,Not Applicable,One way,12.970448,77.604978,0,200
Ashokanagar,2023,Grievous Injury,Vehicle to Vehicle,Two way,12.955846,77.620866,0,201
Ashokanagar,2023,Fatal,Hit pedestrian,Two way,12.965708,77.609466,1,202
Ashokanagar,2023,Grievous Injury,Vehicle to Vehicle,One way,12.934719,77.630314,0,203
Ashokanagar,2023,Grievous Injury,Not Applicable,Two way,12.96159,77.613061,0,204
Ashokanagar,2023,Damage Only,Vehicle to Vehicle,Two way,12.974199,77.61211,0,205
